,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,total acidity,sulphates_squared,citric_acid_ratio,sugar_acid_diff,Quality
0,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,8.1,0.31360000000000005,0.0,-5.5,5
1,7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,8.68,0.4624000000000001,0.0,-5.199999999999999,5
2,7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,8.56,0.42250000000000004,0.005128205128205128,-5.5,5
3,11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,11.479999999999999,0.3364,0.05000000000000001,-9.299999999999999,6
4,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,8.1,0.31360000000000005,0.0,-5.5,5
5,7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,8.06,0.31360000000000005,0.0,-5.6000000000000005,5
6,7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,8.5,0.2116,0.007594936708860759,-6.300000000000001,5
7,7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7.95,0.22089999999999999,0.0,-6.1,7
8,7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,8.379999999999999,0.32489999999999997,0.002564102564102564,-5.8,7
9,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,8.0,0.6400000000000001,0.048,-1.4000000000000004,5
10,6.7,0.58,0.08,1.8,0.0969999999999999,15.0,65.0,0.9959,3.28,0.54,9.2,7.28,0.2916,0.011940298507462687,-4.9,5
11,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,8.0,0.6400000000000001,0.048,-1.4000000000000004,5
12,5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,6.215,0.27040000000000003,0.0,-3.9999999999999996,5
16,8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,8.78,0.5625,0.06588235294117648,-6.7,7
18,7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,7.99,0.25,0.01081081081081081,-3.0,4
20,8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,9.120000000000001,0.28090000000000004,0.053932584269662916,-7.1000000000000005,6
21,7.6,0.39,0.31,2.3,0.0819999999999999,23.0,71.0,0.9982,3.52,0.65,9.7,7.989999999999999,0.42250000000000004,0.04078947368421053,-5.3,5
22,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,8.33,0.8281000000000001,0.026582278481012658,-6.300000000000001,5
